#indx, M/M0, #-of-progs/N_trees 
0, 0.003257, 0.02333 
1, 0.00345, 0.01333 
2, 0.003654, 0.006667 
3, 0.003871,      0 
4, 0.0041,      0 
5, 0.004343, 0.006667 
6, 0.0046,   0.02 
7, 0.004873,   0.02 
8, 0.005162, 0.006667 
9, 0.005467, 0.02333 
10, 0.005791, 0.01667 
11, 0.006134, 0.01333 
12, 0.006498, 0.003333 
13, 0.006883, 0.006667 
14, 0.007291, 0.02667 
15, 0.007723, 0.01667 
16, 0.00818, 0.02667 
17, 0.008665,   0.03 
18, 0.009178, 0.03333 
19, 0.009722, 0.006667 
20, 0.0103, 0.01667 
21, 0.01091, 0.01667 
22, 0.01155, 0.01333 
23, 0.01224, 0.01333 
24, 0.01296, 0.02667 
25, 0.01373, 0.02333 
26, 0.01455,   0.03 
27, 0.01541, 0.04333 
28, 0.01632, 0.02333 
29, 0.01729, 0.02333 
30, 0.01831, 0.03333 
31, 0.0194, 0.01333 
32, 0.02055, 0.02333 
33, 0.02176,   0.02 
34, 0.02305, 0.02333 
35, 0.02442, 0.01333 
36, 0.02586,   0.01 
37, 0.0274, 0.01667 
38, 0.02902, 0.01333 
39, 0.03074, 0.01667 
40, 0.03256, 0.01333 
41, 0.03449, 0.003333 
42, 0.03653, 0.006667 
43, 0.0387,   0.01 
44, 0.04099,   0.01 
45, 0.04342, 0.003333 
46, 0.04599, 0.003333 
47, 0.04872,   0.01 
48, 0.0516, 0.006667 
49, 0.05466, 0.003333 
50, 0.0579, 0.003333 
51, 0.06133, 0.003333 
52, 0.06496, 0.003333 
53, 0.06881, 0.003333 
54, 0.07289, 0.003333 
55, 0.0772,      0 
56, 0.08178,      0 
57, 0.08662, 0.003333 
58, 0.09176,      0 
59, 0.09719,      0 
60, 0.1029,      0 
61,  0.109,      0 
62, 0.1155,      0 
63, 0.1224,      0 
64, 0.1296,      0 
65, 0.1373,      0 
66, 0.1454,      0 
67,  0.154,      0 
68, 0.1632,      0 
69, 0.1728,      0 
70, 0.1831,      0 
71, 0.1939,      0 
72, 0.2054,      0 
73, 0.2176,      0 
74, 0.2305,      0 
75, 0.2441,      0 
76, 0.2586,      0 
77, 0.2739,      0 
78, 0.2901,      0 
79, 0.3073,      0 
80, 0.3255,      0 
81, 0.3448,      0 
82, 0.3652,      0 
83, 0.3869,      0 
84, 0.4098,      0 
85, 0.4341,      0 
86, 0.4598,      0 
87,  0.487,      0 
88, 0.5159,      0 
89, 0.5464,      0 
90, 0.5788,      0 
91, 0.6131,      0 
92, 0.6494,      0 
93, 0.6879,      0 
94, 0.7286,      0 
95, 0.7718,      0 
96, 0.8175,      0 
97,  0.866,      0 
98, 0.9173,      0 
99, 0.9716,      0 
