#indx, M/M0, #-of-progs/N_trees 
0, 1.072e-06,      0 
1, 1.23e-06, 0.003333 
2, 1.413e-06,      0 
3, 1.622e-06,      0 
4, 1.862e-06,      0 
5, 2.138e-06,      0 
6, 2.455e-06, 0.003333 
7, 2.818e-06,      0 
8, 3.236e-06,      0 
9, 3.715e-06,      0 
10, 4.266e-06, 0.003333 
11, 4.898e-06, 0.006667 
12, 5.623e-06,      0 
13, 6.457e-06, 0.003333 
14, 7.413e-06, 0.003333 
15, 8.511e-06, 0.003333 
16, 9.772e-06, 0.003333 
17, 1.122e-05,      0 
18, 1.288e-05, 0.003333 
19, 1.479e-05, 0.006667 
20, 1.698e-05, 0.006667 
21, 1.95e-05, 0.01333 
22, 2.239e-05, 0.006667 
23, 2.57e-05, 0.006667 
24, 2.951e-05, 0.01667 
25, 3.388e-05, 0.006667 
26, 3.89e-05,   0.01 
27, 4.467e-05,   0.01 
28, 5.129e-05, 0.02667 
29, 5.888e-05,   0.01 
30, 6.761e-05,   0.01 
31, 7.762e-05, 0.02333 
32, 8.913e-05, 0.03667 
33, 0.0001023, 0.02667 
34, 0.0001175, 0.04333 
35, 0.0001349, 0.03667 
36, 0.0001549, 0.03667 
37, 0.0001778, 0.02333 
38, 0.0002042,   0.05 
39, 0.0002344, 0.03333 
40, 0.0002692,   0.06 
41, 0.000309, 0.03333 
42, 0.0003548,   0.06 
43, 0.0004074, 0.04333 
44, 0.0004677, 0.04333 
45, 0.000537,   0.05 
46, 0.0006166, 0.03333 
47, 0.0007079,   0.04 
48, 0.0008128, 0.006667 
49, 0.0009333,   0.05 
50, 0.001072,   0.03 
51, 0.00123, 0.01667 
52, 0.001413, 0.01667 
53, 0.001622,   0.01 
54, 0.001862,   0.01 
55, 0.002138, 0.003333 
56, 0.002455,      0 
57, 0.002818, 0.006667 
58, 0.003236, 0.006667 
59, 0.003715,      0 
60, 0.004266,      0 
61, 0.004898,      0 
62, 0.005623,      0 
63, 0.006457,      0 
64, 0.007413,      0 
65, 0.008511,      0 
66, 0.009772,      0 
67, 0.01122,      0 
68, 0.01288,      0 
69, 0.01479,      0 
70, 0.01698,      0 
71, 0.0195,      0 
72, 0.02239,      0 
73, 0.0257,      0 
74, 0.02951,      0 
75, 0.03388,      0 
76, 0.0389,      0 
77, 0.04467,      0 
78, 0.05129,      0 
79, 0.05888,      0 
80, 0.06761,      0 
81, 0.07762,      0 
82, 0.08913,      0 
83, 0.1023,      0 
84, 0.1175,      0 
85, 0.1349,      0 
86, 0.1549,      0 
87, 0.1778,      0 
88, 0.2042,      0 
89, 0.2344,      0 
90, 0.2692,      0 
91,  0.309,      0 
92, 0.3548,      0 
93, 0.4074,      0 
94, 0.4677,      0 
95,  0.537,      0 
96, 0.6166,      0 
97, 0.7079,      0 
98, 0.8128,      0 
99, 0.9333,      0 
