#indx, M/M0, #-of-progs/N_trees 
0, 0.001035,      0 
1, 0.001109, 0.006667 
2, 0.001189, 0.003333 
3, 0.001274, 0.003333 
4, 0.001365, 0.01333 
5, 0.001462, 0.006667 
6, 0.001567, 0.006667 
7, 0.001679,   0.01 
8, 0.001799, 0.01333 
9, 0.001928, 0.01667 
10, 0.002065, 0.01333 
11, 0.002213, 0.003333 
12, 0.002371, 0.006667 
13, 0.002541,   0.01 
14, 0.002723, 0.01333 
15, 0.002917,   0.01 
16, 0.003126, 0.02333 
17, 0.00335, 0.01667 
18, 0.003589, 0.01667 
19, 0.003846, 0.01667 
20, 0.004121, 0.006667 
21, 0.004416, 0.01333 
22, 0.004732,   0.01 
23, 0.00507, 0.02333 
24, 0.005433, 0.02333 
25, 0.005821, 0.02667 
26, 0.006237, 0.02667 
27, 0.006683,   0.02 
28, 0.007161, 0.003333 
29, 0.007674,   0.03 
30, 0.008222,   0.03 
31, 0.00881, 0.02667 
32, 0.009441, 0.02667 
33, 0.01012, 0.02333 
34, 0.01084,   0.03 
35, 0.01161, 0.03333 
36, 0.01245,   0.04 
37, 0.01334, 0.01333 
38, 0.01429, 0.03333 
39, 0.01531, 0.03667 
40, 0.01641,   0.02 
41, 0.01758,   0.02 
42, 0.01884, 0.01667 
43, 0.02018, 0.01333 
44, 0.02163, 0.01667 
45, 0.02317,   0.01 
46, 0.02483, 0.02333 
47, 0.02661,   0.01 
48, 0.02851, 0.01667 
49, 0.03055, 0.003333 
50, 0.03273, 0.01333 
51, 0.03508, 0.006667 
52, 0.03758, 0.006667 
53, 0.04027, 0.006667 
54, 0.04315,      0 
55, 0.04624, 0.006667 
56, 0.04955, 0.003333 
57, 0.05309,      0 
58, 0.05689,      0 
59, 0.06095, 0.006667 
60, 0.06531,      0 
61, 0.06998,      0 
62, 0.07499,      0 
63, 0.08035,      0 
64, 0.0861,      0 
65, 0.09226,      0 
66, 0.09886,      0 
67, 0.1059,      0 
68, 0.1135,      0 
69, 0.1216,      0 
70, 0.1303,      0 
71, 0.1396,      0 
72, 0.1496,      0 
73, 0.1603,      0 
74, 0.1718,      0 
75, 0.1841,      0 
76, 0.1972,      0 
77, 0.2113,      0 
78, 0.2265,      0 
79, 0.2427,      0 
80,   0.26,      0 
81, 0.2786,      0 
82, 0.2985,      0 
83, 0.3199,      0 
84, 0.3428,      0 
85, 0.3673,      0 
86, 0.3936,      0 
87, 0.4217,      0 
88, 0.4519,      0 
89, 0.4842,      0 
90, 0.5188,      0 
91, 0.5559,      0 
92, 0.5957,      0 
93, 0.6383,      0 
94, 0.6839,      0 
95, 0.7328,      0 
96, 0.7852,      0 
97, 0.8414,      0 
98, 0.9016,      0 
99, 0.9661,      0 
